city_name,city_slug,city_url,category_url,http_status,html_bytes,poi_link_count,unique_poi_link_count,strict_match_count,broad_match_count,elapsed_seconds,error
沧州市,cangzhou,http://poi.mapbar.com/cangzhou/,http://poi.mapbar.com/cangzhou/D30/,,,0,0,0,0,1.119,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/cangzhou/D30/')
长春市,changchun,http://poi.mapbar.com/changchun/,http://poi.mapbar.com/changchun/D30/,,,0,0,0,0,1.117,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/changchun/D30/')
常德市,changde,http://poi.mapbar.com/changde/,http://poi.mapbar.com/changde/D30/,,,0,0,0,0,1.121,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/changde/D30/')
昌都市,changdu,http://poi.mapbar.com/changdu/,http://poi.mapbar.com/changdu/D30/,,,0,0,0,0,1.131,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/changdu/D30/')
昌吉回族自治州,changji,http://poi.mapbar.com/changji/,http://poi.mapbar.com/changji/D30/,,,0,0,0,0,1.126,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/changji/D30/')
昌江黎族自治县,changjiang,http://poi.mapbar.com/changjiang/,http://poi.mapbar.com/changjiang/D30/,,,0,0,0,0,1.12,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/changjiang/D30/')
长沙市,changsha,http://poi.mapbar.com/changsha/,http://poi.mapbar.com/changsha/D30/,,,0,0,0,0,1.13,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/changsha/D30/')
长治市,changzhi,http://poi.mapbar.com/changzhi/,http://poi.mapbar.com/changzhi/D30/,,,0,0,0,0,1.127,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/changzhi/D30/')
常州市,changzhou,http://poi.mapbar.com/changzhou/,http://poi.mapbar.com/changzhou/D30/,,,0,0,0,0,1.131,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/changzhou/D30/')
朝阳市,chaoyang,http://poi.mapbar.com/chaoyang/,http://poi.mapbar.com/chaoyang/D30/,,,0,0,0,0,1.124,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chaoyang/D30/')
潮州市,chaozhou,http://poi.mapbar.com/chaozhou/,http://poi.mapbar.com/chaozhou/D30/,,,0,0,0,0,1.123,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chaozhou/D30/')
承德市,chengde,http://poi.mapbar.com/chengde/,http://poi.mapbar.com/chengde/D30/,,,0,0,0,0,1.102,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chengde/D30/')
成都市,chengdu,http://poi.mapbar.com/chengdu/,http://poi.mapbar.com/chengdu/D30/,,,0,0,0,0,1.116,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chengdu/D30/')
澄迈县,chengmai,http://poi.mapbar.com/chengmai/,http://poi.mapbar.com/chengmai/D30/,,,0,0,0,0,1.107,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chengmai/D30/')
郴州市,chenzhou,http://poi.mapbar.com/chenzhou/,http://poi.mapbar.com/chenzhou/D30/,,,0,0,0,0,1.122,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chenzhou/D30/')
赤峰市,chifeng,http://poi.mapbar.com/chifeng/,http://poi.mapbar.com/chifeng/D30/,,,0,0,0,0,1.118,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chifeng/D30/')
池州市,chizhou,http://poi.mapbar.com/chizhou/,http://poi.mapbar.com/chizhou/D30/,,,0,0,0,0,1.123,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chizhou/D30/')
重庆市,chongqing,http://poi.mapbar.com/chongqing/,http://poi.mapbar.com/chongqing/D30/,,,0,0,0,0,1.114,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chongqing/D30/')
