源文件,工作表,行号,字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,21,20,怀仁公司锦绣五溪店,1,湖南省怀化市鹤城区锦溪南路与天星东路交汇处1栋1栋434号怀仁大药房(锦绣五溪店),,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,22,21,怀仁公司教师新苑店,1,湖南省怀化市鹤城区教师新苑公交站教师新苑公交站怀仁大药房,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,23,22,怀仁公司中心市场店,1,湖南省怀化市鹤城区人民南路128号怀化中心市场怀仁大药房,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,24,23,怀仁公司通道中心店,1,湖南省怀化市通道县老药材公司老百姓大药房,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,25,24,怀仁公司靖州梅林路店,1,湖南省怀化市靖州县梅林路财政局旁老百姓大药房,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,26,25,怀仁公司安江天诚稻乡路店,1,湖南省怀化市洪江市汽车站斜对面老百姓大药房(稻乡路店),,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,27,26,怀仁公司会同李园路店,1,湖南省怀化市会同县林城镇名品广场老百姓大药房,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,28,27,怀仁公司溆浦城中市场店,1,湖南省怀化市溆浦县城中市场老百姓大药房（火狐狸服装批发市场旁）,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,29,28,怀仁公司辰溪东星店,1,湖南省怀化市辰溪县辰州北路191号天天按摩沐足(辰州北路店),,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,30,29,怀仁公司沅陵辰州中街店,1,湖南省怀化市沅陵县辰州中街老百姓大药房（老百货公司门面）,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,31,30,怀仁公司溆浦店,1,湖南省怀化市溆浦县卢峰镇三角坪老百姓大药房,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,32,31,湖北公司水果湖店,1,湖北省武汉市武昌区水果湖附近（老百姓大药房水果湖店）,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,33,32,湖北公司武汉新安小区店,1,湖北省武汉市青山区冶金街道104街坊新安小区2栋1层 22-23号,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,34,33,湖北公司武汉沌口金色港湾店,1,湖北省武汉市蔡甸区沌阳街道龙阳大道236号金色港湾法国街27-127-2号商铺,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,35,34,湖南公司益阳沅江庆云山店,1,湖南省益阳市沅江庆云山老百姓大药房(检察院对面),,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,36,35,湖南公司益阳北站店,1,湖南省益阳市资阳区马良南路2号华信酒店对面老百姓大药房北站店,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,37,36,湖南公司常德北站店,1,湖南省常德市武陵区朝阳路东晟文化公馆2号楼106老百姓大药房北站店,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,38,37,湖南公司常德白马湖店,1,湖南省常德市武陵区龙港路金城苑老百姓大药房,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,39,38,湖南公司株洲世贸广场店,1,湖南省株洲市荷塘区新华西路736号老百姓大药房世贸广场店,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,40,39,湖南公司株洲杏林学林雅苑店,1,湖南省株洲市天元区珠江南路533号老百姓大药房学林雅苑店,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,41,40,衡阳公司云集店,1,"湖南省衡阳市衡南县云集街道清园路(黎托农贸市场B栋)107,108室老百姓大药房(云集店)",,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,42,41,衡阳公司水岸新城店,1,湖南省衡阳市蒸湘区蒸水大道48号香江水岸新城六期30B103、104室老百姓大药房,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,43,42,新千秋大药房金中店,1,江苏省常州市金坛区县府路2号金坛新天地B区（中医院急诊对面）,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,44,43,常州万仁第三分公司,1,江苏省常州市横山桥镇江南路55号宏桥家俱一楼万仁大药房,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,45,44,无锡三品堂荣巷店,1,江苏省无锡市滨湖区梁溪路868号老百姓大药房,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,46,45,泰州市泰兴市泰兴店(芙蓉山庄),1,江苏省泰州市泰兴市济川中路39号与鼓楼东路交叉口北180米隆泰大药房（泰兴店）,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,47,46,泰州市靖江市靖江店(老渔婆菜场西门),1,江苏省泰州市靖江市靖城镇渔婆北路85号隆泰大药房（靖江店）,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,48,47,泰州市兴化市九顷店(苏源小区南门),1,江苏省泰州市兴化市板桥路与九顷路交叉口正南方向112米苏源南区,,,,,,,,,,,,,,,
报价单 2026年4月老百姓集团采购流水式粉碎机48台.xlsx,送货地址,49,48,扬州市邗江区兴城路店,1,江苏省扬州市邗江区兴城东路73号老百姓大药房兴城路店,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,1,报价单,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,2,项目名称：老百姓大药房切片机、打粉机采购项目,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,3,报价单位：,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,4,报价时间：,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,5,下单方式：门店按实际需要不定时下单,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,6,付款方式：银行转账，甲方收到货确认无误后，乙方向甲方开具发票，甲方收到发票后30天内支付当批次货款。,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,7,送货地点：甲方于订单上指定的收货区。,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,8,序号,品类,要求参数,尺寸规格（mm/）,标品所含辅材配件,供应商参数（与要求参数有差异的请标红）,供应商产品型号,供应商尺寸规格（mm/）,供应商标品所含辅材配件,预估数量（台）,含税单价（元）,小计（元）,备注,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,9,1,切片机1,功率370W、720片/分钟，切片厚度：0.3-3mm,340*230*310,刀片一套，保险，毛刷，更换刀片内六角,,,,,1,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,10,2,切片机2,功率300W、720片/分钟，切片厚度：0.3-3mm,330*180*290,刀片一套，保险，毛刷，更换刀片内六角,,,,,60,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,11,3,打粉机1,500g小缸磨；粉碎容量（500克）、电压（220V)、额定功率1300W、电机转数25000r/min、机器重量(8.2kg)、粉碎细度30-200目,230*230*360,刀片一套，毛刷一个，保险，碳刷一套,,,,,184,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,12,4,打粉机2,1000g小缸磨；粉碎容量（1000克）、电压（220V)、额定功率2300W、电机转数25000r/min、机器重量(11kg)、粉碎细度30-200目,250*250*390,刀片一套，毛刷一个，保险，碳刷一套,,,,,1,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,13,5,流水式打粉机1,流水式粉碎机；产量（25-60斤/h）、电压（220V)、额定功率3000 W、电机转数2800+ r/min、机器重量(50kg)、粉碎细度60-150目,556*305*497,筛网5片不同孔，毛刷一个，保险一个，限位开关一个，撬棒一个，布袋两个，夹子一个,,,,,1,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,14,6,流水式打粉机2,流水式粉碎机；产量（3-20kg/h）、电压（220V)、额定功率2500W、主轴转数2840 r/min、机器重量(26kg)、粉碎细度30-200 目,580*245*350,布袋、筛片、过载保护器、扳手、毛刷、夹子、有3C认证的16A的转接头1个,,,,,318,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,15,合计（元）,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,16,以上报价含增值税专票（ ） %，含运费。,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,17,质保时间及内容：,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,19,保外维修配件报价表（如不全，可添加）,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,20,序号,产品名称,配件名称,单位,单价（元）,备注,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,21,1,切片机,切刀片,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,22,2,,轴承,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,23,3,,皮带,条,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,24,4,,电路维修,次,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,25,5,打粉机,刀片,套,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,26,6,,碳刷,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,27,7,,轴承,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,28,8,,扳手,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,29,9,,电路维修,次,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,30,10,,开关,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,31,11,,电源接口,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,32,12,运费,"门店寄出设备的快递费由门店支付,寄回门店的快递费由厂家支付。",,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房切片机、打粉机采购项目,33,备注：以上价格含增值税（ ）（填写专用或者普通）发票，含税（ ） %。,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,1,报价单,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,2,项目名称：老百姓大药房切片机、打粉机采购项目,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,3,报价单位：,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,4,报价时间：,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,5,下单方式：门店按实际需要不定时下单,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,6,付款方式：银行转账，甲方收到货确认无误后，乙方向甲方开具发票，甲方收到发票后30天内支付当批次货款。,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,7,送货地点：甲方于订单上指定的收货区。,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,8,序号,品类,单位,要求参数,尺寸规格（mm/）,标品所含辅材配件,供应商参数（与要求参数有差异的请标红）,供应商产品型号,尺寸规格（mm）,标品所含辅材配件,预估数量（台）,含税单价（元）,小计（元）,备注,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,9,1,煎药机1,台,"额定电压 220V,总功率 2700W,整机 重量75KG,煎药锅有效容量20L,上 下辊温设定范围100-199℃,包装数 量设定范围0~250循环,包装能力 5~8/分钟,袋装容量50~250m1.",650*550 *1250,机头扳手、内六角 扳手、剪刀、药布 袋、压药器、排水 管、试机卷,,,,,5,,0,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,10,2,煎药机2,台,"额定电压 220V.总功率4450W,整机 重量120KG,煎药锅有效容量20L*2 上下辊温设定范围 100-199℃,包装 数量设定范围0~250循环,包装能 力5~8/分钟,袋装容量 50~250ml",1100*50 0*1200,机头扳手、内六角 扳手、剪刀、药布 袋、压药器、排水 管、试机卷,,,,,1,,0,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,11,3,煎药机3,台,"额定电压 220V,总功率 6250W,整机 重量120KG,煎药锅有效容量20L*3 上下辊温设定范围100-199℃,包装 数量设定范围0~250循环,包装能 力5~8/分钟,袋装容量 50~250ml",1300*50 0*1250,机头扳手、内六角 扳手、剪刀、药布 袋、压药器、排水 管、试机卷,,,,,1,,0,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,12,合计（元）,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,15,序号,品类,单位,参考参数,最低订量,含税单价（元）,小计（元）,备注,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,16,1,中药液包装膜,组,7公斤/组,2,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,17,2,中药液包装膜,组,8.5公斤/组,2,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,18,3,无纺布袋,个,8*10CM,2500,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,19,4,无纺布袋,个,15*20CM,2500,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,20,5,无纺布袋,个,30*40CM,300,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,21,6,无纺布袋,个,45*50CM,200,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,22,7,无纺布袋,个,10*15CM,2500,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,23,8,无纺布袋,个,20*30CM,300,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,24,9,无纺布袋,个,50*60CM,200,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,26,保外维修配件报价表（如不全，可添加）,,,,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,27,序号,产品名称,配件名称,单位,单价（元）,备注,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,28,1,,注入电磁阀,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,29,2,,加热管,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,30,3,,切刀,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,31,4,,整机管路,套,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,32,5,,玻璃桶,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,33,6,,加热盘,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,34,7,,电机,个,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,35,8,,加热板(上下两块板),套,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,36,9,,包装板(上下两块板),套,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,37,10,,调整机头，清洗管路,次,,,,,,,,,,,,,,,
报价单 老百姓大药房2026-2028两年度 煎药机、切片机、打粉机采购项目.xlsx,老百姓大药房煎药机采购项目,38,11,运费,"门店寄出设备的快递费由门店支付,寄回门店的快递费由厂家支付。",,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,1,,老百姓商务车维保报价单,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,2,,报价单位：,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,3,,报价单位地址：,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,4,,报价单位简介：（业务量、维修车辆等）,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,5,,报价时间：,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,6,,老百姓总部地址为开福区青竹湖路808号。,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,7,,序号,保养类型,项目,品牌,单位,单价（元）,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,8,,,,,,,别克GL8,丰田阿尔法,考斯特,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,9,,1,常规保养,机油,需求量,L,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,10,,2,,,金美孚1号 0W-40,L,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,11,,3,,机油滤清器,原厂配件,个,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,12,,4,,空气滤芯,原厂配件,个,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,13,,5,,空调滤芯,原厂配件,个,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,14,,6,,发动机清洗剂,,L,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,15,,7,,发动机保护剂,,L,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,16,,8,,工时费,常规保养项所需工时费,元,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,17,,9,大保养,变速油箱,需求量,L,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,18,,10,,,原厂配件,L,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,19,,11,,火花塞,需求量,支,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,20,,12,,,原厂配件,支,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,21,,13,,刹车油,原厂配件,L,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,22,,14,,防冻液,原厂配件,L,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,23,,15,,工时费,常规保养和大保养两大项所需工时费,元,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,24,,16,配件,发电机皮带,原厂配件,条,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,25,,17,（含工时费）,水箱,原厂配件,个,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,26,,18,,尾灯总成,原厂配件,套,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,27,,19,,下悬臂,原厂配件,套,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,28,,20,,氧传感器,原厂配件,套,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,29,,21,,电瓶,原厂配件,个,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,30,,22,,刹车片,原厂配件,付,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,31,,23,,减震器,原厂配件,支,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,32,,24,,轮胎,品牌,,马牌,固特异,普利司通,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,33,,25,,,原厂配件,个,,,,,,,,,,,,,
老百姓总部商务车维保报价单.xlsx,Sheet1,34,,备注：以上报价为含税价，开具增值税 （填写专用或者普通）发票，税率为 %。,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,2,,老百姓商务车维保报价单,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,3,,报价单位：,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,4,,报价单位地址：,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,5,,报价单位简介：（维保人员数量、月度维保车辆大致数量、占地面积、擅长维修的车辆品牌、型号等）,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,6,,报价时间：,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,7,,注意：两张报价单均需要报价，系统上传的总价为本张报价单合计金额。请注意填写所有标黄部分。报价单无需盖章，直接上传表格即可，以系统上传价格为准。,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,8,,老百姓总部位于开福区青竹湖路808号，商务车的数量为3台别克，1台阿尔法，2台考斯特。大巴车的数量为5台比亚迪，2台金龙。,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,9,,车辆信息：,,,,,,,,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,10,,序号,品牌型号,车辆识别代号,注册日期,序号,品牌型号,车辆识别代号,注册日期,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,11,,1,别克牌SGM6522UBA6,LSGUL83L9LA266276,2021-03-10 00:00:00,5,钧天牌JF5060XSW53LE,LFMEA5813PS002690,2023-08-28 00:00:00,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,12,,2,别克牌SGM6522UAA1,LSGUL83L0HA120002,2017-09-01 00:00:00,6,柯斯达牌SCT6704GRB53LE,LFME55815DS003730,2014-03-06 00:00:00,,,,,,,,,,
老百姓总部商务车维保报价单2025.11.25.xlsx,01常规保养报价单,13,,3,别克牌SGM6531UAAF,LSGUA8278HE019227,2017-06-23 00:00:00,7,比亚迪牌BY06110HLEV2,/,2019/11/27(5台车一样）,,,,,,,,,,
