name	status	store_count	max_distance	cities	store_ids	url	error
variant_radius1	200	8	1.2	["长沙", "长沙市"]	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	https://yx.lbxcn.com/out/2212sping/getlbxStoreList?Latitude=28.228304&Longitude=112.938882&radius=1	
variant_radius10	200	8	1.2	["长沙", "长沙市"]	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	https://yx.lbxcn.com/out/2212sping/getlbxStoreList?Latitude=28.228304&Longitude=112.938882&radius=10	
variant_radius100	200	8	1.2	["长沙", "长沙市"]	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	https://yx.lbxcn.com/out/2212sping/getlbxStoreList?Latitude=28.228304&Longitude=112.938882&radius=100	
variant_radius1000	200	8	1.2	["长沙", "长沙市"]	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	https://yx.lbxcn.com/out/2212sping/getlbxStoreList?Latitude=28.228304&Longitude=112.938882&radius=1000	
variant_size1	200	8	1.2	["长沙", "长沙市"]	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	https://yx.lbxcn.com/out/2212sping/getlbxStoreList?Latitude=28.228304&Longitude=112.938882&size=1	
variant_size50	200	8	1.2	["长沙", "长沙市"]	["3540", "18126", "5657", "2542", "6147", "13745", "4783", "10767"]	https://yx.lbxcn.com/out/2212sping/getlbxStoreList?Latitude=28.228304&Longitude=112.938882&size=50	
variant_lower	200	0		[]	[]	https://yx.lbxcn.com/out/2212sping/getlbxStoreList?latitude=28.228304&longitude=112.938882	
variant_latlng	200	0		[]	[]	https://yx.lbxcn.com/out/2212sping/getlbxStoreList?lat=28.228304&lng=112.938882	
variant_missing_lat	200	0		[]	[]	https://yx.lbxcn.com/out/2212sping/getlbxStoreList?Longitude=112.938882	
variant_missing_lng	200	0		[]	[]	https://yx.lbxcn.com/out/2212sping/getlbxStoreList?Latitude=28.228304	
new_wrapper_changsha	200	0		[]	[]	https://yx.lbxcn.com/out/2026api/getlbxStoreList?Latitude=28.228304&Longitude=112.938882	
direct_msapitest.lbxcn.com_31443		0		[]	[]	https://msapitest.lbxcn.com:31443/sems-store/nearby/store/pageNearbyStore	ConnectTimeout(MaxRetryError("HTTPSConnectionPool(host='msapitest.lbxcn.com', port=31443): Max retries exceeded with url: /sems-store/nearby/store/pageNearbyStore (Caused by ConnectTimeoutError(<HTTPSConnection(host='msapitest.lbxcn.com', port=31443) at 0x7f9509c22390>, 'Connection to msapitest.lbxcn.com timed out. (connect timeout=40)'))"))
direct_msapi.lbxcn.com_31443		0		[]	[]	https://msapi.lbxcn.com:31443/sems-store/nearby/store/pageNearbyStore	ConnectTimeout(MaxRetryError("HTTPSConnectionPool(host='msapi.lbxcn.com', port=31443): Max retries exceeded with url: /sems-store/nearby/store/pageNearbyStore (Caused by ConnectTimeoutError(<HTTPSConnection(host='msapi.lbxcn.com', port=31443) at 0x7f9509c22990>, 'Connection to msapi.lbxcn.com timed out. (connect timeout=40)'))"))
direct_msapi.lbxcn.com		0		[]	[]	https://msapi.lbxcn.com/sems-store/nearby/store/pageNearbyStore	ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))
direct_msapi-test.lbxcn.com_31443		0		[]	[]	https://msapi-test.lbxcn.com:31443/sems-store/nearby/store/pageNearbyStore	ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'msapi-test.lbxcn.com\', port=31443): Max retries exceeded with url: /sems-store/nearby/store/pageNearbyStore (Caused by NameResolutionError("HTTPSConnection(host=\'msapi-test.lbxcn.com\', port=31443): Failed to resolve \'msapi-test.lbxcn.com\' ([Errno -2] Name or service not known)"))'))
direct_msapi-prod.lbxcn.com_31443		0		[]	[]	https://msapi-prod.lbxcn.com:31443/sems-store/nearby/store/pageNearbyStore	ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'msapi-prod.lbxcn.com\', port=31443): Max retries exceeded with url: /sems-store/nearby/store/pageNearbyStore (Caused by NameResolutionError("HTTPSConnection(host=\'msapi-prod.lbxcn.com\', port=31443): Failed to resolve \'msapi-prod.lbxcn.com\' ([Errno -2] Name or service not known)"))'))
direct_msapiprod.lbxcn.com_31443		0		[]	[]	https://msapiprod.lbxcn.com:31443/sems-store/nearby/store/pageNearbyStore	ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'msapiprod.lbxcn.com\', port=31443): Max retries exceeded with url: /sems-store/nearby/store/pageNearbyStore (Caused by NameResolutionError("HTTPSConnection(host=\'msapiprod.lbxcn.com\', port=31443): Failed to resolve \'msapiprod.lbxcn.com\' ([Errno -2] Name or service not known)"))'))
direct_api.lbxcn.com		0		[]	[]	https://api.lbxcn.com/sems-store/nearby/store/pageNearbyStore	ConnectTimeout(MaxRetryError("HTTPSConnectionPool(host='api.lbxcn.com', port=443): Max retries exceeded with url: /sems-store/nearby/store/pageNearbyStore (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.lbxcn.com', port=443) at 0x7f9509c23bc0>, 'Connection to api.lbxcn.com timed out. (connect timeout=40)'))"))
direct_gateway.lbxcn.com		0		[]	[]	https://gateway.lbxcn.com/sems-store/nearby/store/pageNearbyStore	ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'gateway.lbxcn.com\', port=443): Max retries exceeded with url: /sems-store/nearby/store/pageNearbyStore (Caused by NameResolutionError("HTTPSConnection(host=\'gateway.lbxcn.com\', port=443): Failed to resolve \'gateway.lbxcn.com\' ([Errno -2] Name or service not known)"))'))
