adcode,name,label,spell,longitude,latitude,level,province_code,province,official_market,occurrences,path,paths
320800,淮安,淮安市,HuaiAnShi,119.113166,33.551495,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[7],$.data.cityData.provinces.320000.cities[7]
320900,盐城,盐城市,YanChengShi,120.16263,33.348176,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[8],$.data.cityData.provinces.320000.cities[8]
321000,扬州,扬州市,YangZhouShi,119.412834,32.394404,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[9],$.data.cityData.provinces.320000.cities[9]
321100,镇江,镇江市,ZhenJiangShi,119.424441,32.188141,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[10],$.data.cityData.provinces.320000.cities[10]
321200,泰州,泰州市,TaiZhouShi,119.922883,32.456692,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[11],$.data.cityData.provinces.320000.cities[11]
321300,宿迁,宿迁市,SuQianShi,118.275228,33.963186,prefecture,32,江苏,True,1,$.data.cityData.provinces.320000.cities[12],$.data.cityData.provinces.320000.cities[12]
330000,浙江,浙江省,ZheJiangSheng,120.152575,30.266619,province,33,浙江,True,1,$.data.cityData.provinces.330000,$.data.cityData.provinces.330000
330100,杭州,杭州市,HangZhouShi,120.210792,30.246026,prefecture,33,浙江,True,2,$.data.cityData.hotCitys[8],$.data.cityData.hotCitys[8] | $.data.cityData.provinces.330000.cities[0]
330200,宁波,宁波市,NingBoShi,121.62454,29.860258,prefecture,33,浙江,True,1,$.data.cityData.provinces.330000.cities[1],$.data.cityData.provinces.330000.cities[1]
330300,温州,温州市,WenZhouShi,120.699279,27.993849,prefecture,33,浙江,True,1,$.data.cityData.provinces.330000.cities[2],$.data.cityData.provinces.330000.cities[2]
330400,嘉兴,嘉兴市,JiaXingShi,120.755623,30.746814,prefecture,33,浙江,True,1,$.data.cityData.provinces.330000.cities[3],$.data.cityData.provinces.330000.cities[3]
330500,湖州,湖州市,HuZhouShi,120.086881,30.894178,prefecture,33,浙江,True,1,$.data.cityData.provinces.330000.cities[4],$.data.cityData.provinces.330000.cities[4]
330600,绍兴,绍兴市,ShaoXingShi,120.582886,30.051549,prefecture,33,浙江,True,1,$.data.cityData.provinces.330000.cities[5],$.data.cityData.provinces.330000.cities[5]
330700,金华,金华市,JinHuaShi,119.647265,29.079195,prefecture,33,浙江,True,1,$.data.cityData.provinces.330000.cities[6],$.data.cityData.provinces.330000.cities[6]
330800,衢州,衢州市,QuZhouShi,118.859307,28.970229,prefecture,33,浙江,True,1,$.data.cityData.provinces.330000.cities[7],$.data.cityData.provinces.330000.cities[7]
330900,舟山,舟山市,ZhouShanShi,122.207395,29.985578,prefecture,33,浙江,True,1,$.data.cityData.provinces.330000.cities[8],$.data.cityData.provinces.330000.cities[8]
331000,台州,台州市,TaiZhouShi,121.42079,28.655716,prefecture,33,浙江,True,1,$.data.cityData.provinces.330000.cities[9],$.data.cityData.provinces.330000.cities[9]
